TIMINGS with 100 steps

Serial code with no theta
N = 10 : 0.0005
N = 20 : 0.0012
N = 30 : 0.0023
N = 40 : 0.0034
N = 50 : 0.0051
N = 60 : 0.0076
N = 70 : 0.0100
N = 80 : 0.0125
N = 90 : 0.0156
N = 100 : 0.0187
N = 150 : 0.0362
N = 200 : 0.0645
N = 300 : 0.1379
N = 400 : 0.2424
N = 500 : 0.3748
N = 600 : 0.5308
N = 700 : 0.7135
N = 800 : 0.9446
N = 900 : 1.2231
N = 1000 : 1.5579
N = 1500 : 3.9489
N = 2000 : 7.4920
N = 3000 : 17.3054
N = 4000 : 30.8682
N = 5000 : 48.5555
N = 6000 : 74.9567
N = 7000 : 124.4511
N = 8000 : 177.6811
N = 9000 : 232.6787
N = 10000 : 298.3965
N = 12000 : > 5min
N = 14000 : > 5min
N = 16000 : > 5min
N = 18000 : > 5min
N = 20000 : ~ 20min

Parallel code with no theta
N = 10 : 0.0046
N = 20 : 0.0059
N = 30 : 0.0071
N = 40 : 0.0082
N = 50 : 0.0099
N = 60 : 0.0134
N = 70 : 0.0155
N = 80 : 0.0171
N = 90 : 0.0203
N = 100 : 0.0214
N = 150 : 0.0307
N = 200 : 0.0535
N = 300 : 0.0897
N = 400 : 0.1282
N = 500 : 0.1711
N = 600 : 0.2218
N = 700 : 0.2831
N = 800 : 0.3517
N = 900 : 0.4338
N = 1000 : 0.5392
N = 1500 : 1.1860
N = 2000 : 2.1043
N = 3000 : 4.5342
N = 4000 : 7.8980
N = 5000 : 12.4828
N = 6000 : 19.1292
N = 7000 : 30.8395
N = 8000 : 43.3345
N = 9000 : 56.7636
N = 10000 : 71.5336
N = 12000 : 108.0829
N = 14000 : 149.3975
N = 16000 : 199.0160
N = 18000 : 259.8611
N = 20000 : 328.1274

Serial code with best theta (theta = 0.2564)
N = 10 : 0.0004
N = 20 : 0.0012
N = 30 : 0.0021
N = 40 : 0.0032
N = 50 : 0.0045
N = 60 : 0.0064
N = 70 : 0.0082
N = 80 : 0.0101
N = 90 : 0.0118
N = 100 : 0.0151
N = 150 : 0.0283
N = 200 : 0.0451
N = 300 : 0.0896
N = 400 : 0.1462
N = 500 : 0.2134
N = 600 : 0.2909
N = 700 : 0.3740
N = 800 : 0.4672
N = 900 : 0.5696
N = 1000 : 0.6855
N = 1500 : 1.3840
N = 2000 : 2.2865
N = 3000 : 4.6803
N = 4000 : 7.9101
N = 5000 : 11.9902
N = 6000 : 16.8943
N = 7000 : 22.6299
N = 8000 : 29.7220
N = 9000 : 37.6749
N = 10000 : 46.5764
N = 12000 : 69.4304
N = 14000 : 97.9028
N = 16000 : 131.1824
N = 18000 : 174.6888
N = 20000 : 231.8710

Parallel code with best theta (theta = 0.2564)
N = 10 : 0.0046
N = 20 : 0.0059
N = 30 : 0.0069
N = 40 : 0.0080
N = 50 : 0.0097
N = 60 : 0.0119
N = 70 : 0.0138
N = 80 : 0.0164
N = 90 : 0.0174
N = 100 : 0.0217
N = 150 : 0.0320
N = 200 : 0.0406
N = 300 : 0.0727
N = 400 : 0.1031
N = 500 : 0.1286
N = 600 : 0.1575
N = 700 : 0.1903
N = 800 : 0.2240
N = 900 : 0.2621
N = 1000 : 0.3061
N = 1500 : 0.5443
N = 2000 : 0.8448
N = 3000 : 1.5931
N = 4000 : 2.5630
N = 5000 : 3.9610
N = 6000 : 5.4914
N = 7000 : 7.2437
N = 8000 : 9.2274
N = 9000 : 11.4727
N = 10000 : 14.0619
N = 12000 : 20.0580
N = 14000 : 28.1215
N = 16000 : 38.0753
N = 18000 : 51.4644
N = 20000 : 66.0923

Theta Search for N = 2000, 200 steps

Difference from actual result:
0 : 0.000000000000
0.05 : 0.000013308341
0.1 : 0.000126060503
0.15 : 0.000231393231
0.2 : 0.000410095418
0.25 : 0.000885759450
0.255 : 0.000956750688
0.256 : 0.000962522914
0.2564 : 0.000990857565
0.2565 : 0.001004047590
